out_pump_steps_rate,in_pump_steps_rate,initial_mass,mass_3min,end_mass,delta_mass_end_minus_3min
128664.22955511064,129402.36864371922,0.0,0.0049999999999954525,-0.17799999999999727,-0.18299999999999272
127664.22955511064,129402.36864371922,0.0,0.0049999999999954525,0.03899999999998727,0.033999999999991815
128164.0,129402.36864371922,0.0,0.0009999999999763531,0.11000000000001364,0.10900000000003729
128414.0,129402.36864371922,0.0,0.013999999999953161,0.04599999999999227,0.03200000000003911
128539.0,129402.36864371922,0.0,-0.0049999999999954525,0.02400000000000091,0.028999999999996362
128602.0,129402.36864371922,-0.0020000000000095497,-0.01799999999997226,0.026999999999986812,0.04499999999995907
128633.0,129402.36864371922,0.0,0.004000000000019099,0.07300000000003593,0.06900000000001683
128649.0,129402.36864371922,0.0,-0.0030000000000427463,0.04800000000000182,0.051000000000044565
128657.0,129402.36864371922,0.0,-0.0049999999999954525,0.03100000000000591,0.036000000000001364
128661.0,129402.36864371922,0.0,-0.01599999999996271,0.020000000000038654,0.036000000000001364
128663.0,129402.36864371922,0.0,0.006000000000028649,0.025000000000034106,0.019000000000005457
128664.0,129402.36864371922,0.0,0.003999999999962256,0.007999999999981355,0.004000000000019099
