in_pump_steps_rate,out_pump_steps_rate,initial_mass,mass_3min,end_mass,delta_mass_end_minus_3min
174417,174417,0.0,-0.33199999999999363,-0.8349999999999795,-0.5029999999999859
174417,173417,0.0,-0.09699999999997999,-0.5079999999999814,-0.41100000000000136
174417,172417,0.0,-0.07299999999997908,-0.41100000000000136,-0.3380000000000223
174417,171417,-0.0049999999999954525,-0.06299999999998818,-0.3079999999999927,-0.24500000000000455
174417,170417,-0.011000000000024102,-0.06299999999998818,-0.2629999999999768,-0.19999999999998863
174417,169417,-0.004000000000019099,-0.023000000000024556,-0.16700000000003,-0.14400000000000546
174417,168417,0.0,-0.01799999999997226,-0.05099999999998772,-0.03300000000001546
174417,167417,-0.0020000000000095497,0.012000000000000455,-0.024999999999977263,-0.03699999999997772
174417,166417,-0.004000000000019099,0.019000000000005457,0.10499999999996135,0.08599999999995589
174417,166917,-0.0009999999999763531,0.004000000000019099,0.08300000000002683,0.07900000000000773
174417,167167,-0.0009999999999763531,0.027000000000043656,0.08000000000004093,0.05299999999999727
174417,167292,-0.0030000000000427463,0.0049999999999954525,0.012999999999976808,0.007999999999981355
