in_pump_steps_rate,out_pump_steps_rate,initial_mass,mass_3min,end_mass,delta_mass_end_minus_3min
64263,64263,0.0,-0.003999999999962256,-0.1490000000000009,-0.14500000000003865
64263,63263,0.0,-0.0019999999999527063,-0.01999999999998181,-0.018000000000029104
64263,62263,-0.0020000000000095497,0.025999999999953616,0.10099999999999909,0.07500000000004547
64263,62763,0.0,0.002999999999985903,0.1209999999999809,0.117999999999995
64263,63013,0.0,-0.005999999999971806,0.05200000000002092,0.057999999999992724
64263,63138,0.0,0.0019999999999527063,0.04599999999999227,0.04400000000003956
64263,63201,0.0,0.005999999999971806,0.04599999999999227,0.040000000000020464
64263,63232,0.0,-0.002999999999985903,0.04399999999998272,0.04699999999996862
64263,63248,0.0,0.0,0.033999999999991815,0.033999999999991815
64263,63256,0.0,-0.008999999999957708,-0.01599999999996271,-0.007000000000005002
64263,63252,0.0,0.002999999999985903,0.014000000000010004,0.011000000000024102
64263,63254,0.0,-0.007000000000005002,-0.022000000000048203,-0.015000000000043201
64263,63253,0.0,0.0010000000000331966,0.03100000000000591,0.029999999999972715
