out_pump_steps_rate,in_pump_steps_rate,initial_mass,mass_3min,end_mass,delta_mass_end_minus_3min
42172.67832496986,46176.55326001961,0.0,0.04200000000003001,-0.010999999999967258,-0.05299999999999727
41172.67832496986,46176.55326001961,0.0,0.013999999999953161,0.1239999999999668,0.11000000000001364
41672.0,46176.55326001961,0.0,-0.0049999999999954525,0.19200000000000728,0.19700000000000273
41922.0,46176.55326001961,0.0,0.012000000000000455,0.06799999999998363,0.055999999999983174
42047.0,46176.55326001961,0.0,0.027000000000043656,0.06300000000004502,0.036000000000001364
42110.0,46176.55326001961,0.0,0.0049999999999954525,0.06499999999999773,0.060000000000002274
42141.0,46176.55326001961,0.0,-0.012000000000000455,0.019000000000005457,0.03100000000000591
42157.0,46176.55326001961,0.0,0.005999999999971806,0.033999999999991815,0.02800000000002001
42165.0,46176.55326001961,0.0,0.014000000000010004,0.13599999999996726,0.12199999999995725
42169.0,46176.55326001961,0.0,-0.004000000000019099,0.13700000000000045,0.14100000000001955
42171.0,46176.55326001961,0.0,0.025000000000034106,0.146000000000015,0.1209999999999809
42172.0,46176.55326001961,0.0,0.009999999999990905,0.15499999999997272,0.1449999999999818
