out_pump_steps_rate,in_pump_steps_rate,initial_mass,mass_3min,end_mass,delta_mass_end_minus_3min
207681.62886589806,220911.4392556533,-0.0020000000000095497,-0.06700000000000728,0.13700000000000045,0.20400000000000773
208681.62886589806,220911.4392556533,0.0,0.06599999999997408,0.3509999999999991,0.285000000000025
209681.62886589806,220911.4392556533,0.0,0.03999999999996362,0.28499999999996817,0.24500000000000455
210681.62886589806,220911.4392556533,0.0,0.03300000000001546,0.18700000000001182,0.15399999999999636
211681.62886589806,220911.4392556533,-0.0030000000000427463,0.02199999999999136,0.09600000000000364,0.07400000000001228
212681.62886589806,220911.4392556533,0.0,0.0019999999999527063,0.03899999999998727,0.03700000000003456
213681.62886589806,220911.4392556533,-0.002999999999985903,-0.009000000000014552,-0.028999999999996362,-0.01999999999998181
213181.0,220911.4392556533,-0.002999999999985903,-0.0020000000000095497,0.004000000000019099,0.006000000000028649
213431.0,220911.4392556533,0.0,0.008999999999957708,0.06899999999995998,0.060000000000002274
213556.0,220911.4392556533,0.0,-0.02600000000001046,-0.11700000000001864,-0.09100000000000819
213493.0,220911.4392556533,-0.0020000000000095497,-0.014999999999986358,-0.004000000000019099,0.010999999999967258
213524.0,220911.4392556533,0.0,0.009999999999990905,0.036000000000001364,0.02600000000001046
213540.0,220911.4392556533,0.0,0.002999999999985903,0.03899999999998727,0.036000000000001364
213548.0,220911.4392556533,0.0,-0.0030000000000427463,-0.004000000000019099,-0.0009999999999763531
