out_pump_steps_rate,in_pump_steps_rate,initial_mass,mass_3min,end_mass,delta_mass_end_minus_3min
170654.07607252532,170607.70300530936,0.0,-0.08800000000002228,-0.17400000000003502,-0.08600000000001273
169654.07607252532,170607.70300530936,-0.0020000000000095497,0.016999999999995907,0.07200000000000273,0.05500000000000682
170154.0,170607.70300530936,0.0,0.013000000000033651,0.16900000000003956,0.1560000000000059
170404.0,170607.70300530936,0.0,0.016999999999995907,0.10500000000001819,0.08800000000002228
170529.0,170607.70300530936,0.0,0.013999999999953161,0.11499999999995225,0.10099999999999909
170592.0,170607.70300530936,0.0,0.0020000000000095497,0.103999999999985,0.10199999999997544
170623.0,170607.70300530936,0.0,0.007000000000005002,0.11000000000001364,0.10300000000000864
170639.0,170607.70300530936,0.0,0.011000000000024102,0.1470000000000482,0.1360000000000241
170647.0,170607.70300530936,0.0,0.013999999999953161,0.16999999999995907,0.1560000000000059
170651.0,170607.70300530936,0.0,0.026999999999986812,0.15299999999996317,0.12599999999997635
170653.0,170607.70300530936,0.0,0.008000000000038199,0.11000000000001364,0.10199999999997544
170654.0,170607.70300530936,0.0,0.0049999999999954525,0.103999999999985,0.09899999999998954
