in_pump_steps_rate,out_pump_steps_rate,initial_mass,mass_3min,end_mass,delta_mass_end_minus_3min
148802,148802,-0.0019999999999527063,-0.11099999999999,-0.15099999999995362,-0.03999999999996362
148802,147802,0.0,0.004000000000019099,0.03300000000001546,0.028999999999996362
148802,148302,-0.0009999999999763531,0.016999999999995907,0.1349999999999909,0.117999999999995
148802,148552,-0.0009999999999763531,0.012000000000000455,0.07900000000000773,0.06700000000000728
148802,148677,-0.0019999999999527063,0.0010000000000331966,0.11800000000005184,0.11700000000001864
148802,148740,-0.002999999999985903,0.007000000000005002,0.1150000000000091,0.10800000000000409
148802,148771,0.0,-0.045000000000015916,-0.014000000000010004,0.03100000000000591
148802,148787,0.0,-0.002999999999985903,0.12599999999997635,0.12899999999996226
148802,148795,-0.004000000000019099,0.025999999999953616,0.15999999999996817,0.13400000000001455
148802,148799,-0.002999999999985903,0.009999999999990905,0.08899999999999864,0.07900000000000773
148802,148801,0.0,0.026999999999986812,0.12299999999999045,0.09600000000000364
148802,148802,0.0,-0.0020000000000095497,0.1169999999999618,0.11899999999997135
