time_s,delta_mass_g
0.0,-0.002999999999985903
15.001282930374146,0.0
30.00243067741394,0.0030000000000427463
45.003462076187134,-0.0009999999999763531
60.000093936920166,-0.005999999999971806
75.00073266029358,-0.012999999999976808
90.00274467468262,-0.020999999999958163
105.00147938728333,-0.024999999999977263
120.0012755393982,-0.024999999999977263
135.00175166130066,-0.024999999999977263
150.0009045600891,-0.028999999999996362
165.00044512748718,-0.031999999999982265
180.0002088546753,-0.03699999999997772
195.00369596481323,-0.04199999999997317
210.00026035308838,-0.04699999999996862
225.00183081626892,-0.05299999999999727
240.00340914726257,-0.06299999999998818
255.00103664398193,-0.07999999999998408
270.0021016597748,-0.08299999999996999
285.00017070770264,-0.09199999999998454
300.000869512558,-0.103999999999985
315.0010550022125,-0.12299999999999045
330.0032687187195,-0.12999999999999545
345.00247406959534,-0.13899999999995316
360.0017330646515,-0.1560000000000059
375.0001757144928,-0.18299999999999272
390.00057339668274,-0.19999999999998863
405.00007247924805,-0.22199999999998
420.00157499313354,-0.2519999999999527
435.00176429748535,-0.2529999999999859
450.0025866031647,-0.2589999999999577
465.0004680156708,-0.27199999999999136
480.0024812221527,-0.28199999999998226
495.00139904022217,-0.3019999999999641
510.003470659256,-0.3050000000000068
525.0031652450562,-0.3129999999999882
540.0005931854248,-0.3159999999999741
555.0002167224884,-0.3199999999999932
570.0013315677643,-0.3229999999999791
585.0010209083557,-0.32499999999998863
600.0005168914795,-0.32499999999998863
615.0015218257904,-0.32799999999997453
630.000501871109,-0.33499999999997954
645.0001859664917,-0.35199999999997544
660.0007455348969,-0.3569999999999709
675.0004255771637,-0.36299999999999955
690.0033721923828,-0.3669999999999618
705.0011236667633,-0.3709999999999809
720.0012600421906,-0.3739999999999668
735.0002636909485,-0.3839999999999577
750.0002658367157,-0.38700000000000045
765.0011501312256,-0.3949999999999818
780.002876996994,-0.40699999999998226
795.0004396438599,-0.4159999999999968
810.0007088184357,-0.4189999999999827
825.0006937980652,-0.42399999999997817
840.0016822814941,-0.4259999999999877
855.0022251605988,-0.4269999999999641
870.0015494823456,-0.4300000000000068
885.0006549358368,-0.4300000000000068
900.0010733604431,-0.4309999999999832
915.0000846385956,-0.43899999999996453
930.0024764537811,-0.44899999999995543
945.001532793045,-0.45299999999997453
960.0013523101807,-0.4539999999999509
975.0004959106445,-0.4590000000000032
990.0022823810577,-0.4539999999999509
1005.0002043247223,-0.44899999999995543
1020.0003671646118,-0.44700000000000273
1035.0012521743774,-0.44299999999998363
1050.0032505989075,-0.4519999999999982
1065.002593278885,-0.45599999999996044
1080.0028285980225,-0.45799999999997
1095.0030665397644,-0.45799999999997
1110.0008759498596,-0.4549999999999841
1125.0010387897491,-0.4549999999999841
1140.00159740448,-0.45299999999997453
1155.0024528503418,-0.45299999999997453
1170.0004272460938,-0.44999999999998863
1185.0015790462494,-0.45299999999997453
1200.0030608177185,-0.45599999999996044
1215.0032963752747,-0.46299999999996544
1230.001636981964,-0.46399999999999864
1245.0007045269012,-0.46599999999995134
1260.0032629966736,-0.464999999999975
1275.0025975704193,-0.46399999999999864
1290.0021388530731,-0.464999999999975
1305.0016615390778,-0.4619999999999891
1320.0001599788666,-0.46299999999996544
1335.0006041526794,-0.46699999999998454
1350.0015606880188,-0.47100000000000364
1365.0022659301758,-0.4759999999999991
1380.0014433860779,-0.4759999999999991
1395.0028955936432,-0.46999999999997044
1410.0030992031097,-0.46599999999995134
1425.001620054245,-0.46299999999996544
1440.0019390583038,-0.4590000000000032
1455.0032949447632,-0.45799999999997
1470.0014004707336,-0.4590000000000032
1485.0033540725708,-0.46299999999996544
1500.0016932487488,-0.46299999999996544
1515.0017793178558,-0.46599999999995134
1530.0018286705017,-0.46599999999995134
1545.0018236637115,-0.46299999999996544
1560.001710176468,-0.45999999999997954
1575.0017342567444,-0.45699999999999363
1590.0023074150085,-0.45799999999997
1605.0015289783478,-0.4619999999999891
1620.0005490779877,-0.4619999999999891
1635.0012800693512,-0.4689999999999941
1650.001692533493,-0.47299999999995634
1665.001757144928,-0.47299999999995634
1680.0032994747162,-0.4689999999999941
1695.0037882328033,-0.47100000000000364
1710.0020084381104,-0.47100000000000364
1725.000893354416,-0.46999999999997044
1740.0007150173187,-0.4679999999999609
1755.0018181800842,-0.46599999999995134
1770.000411272049,-0.47100000000000364
1785.0011155605316,-0.47299999999995634
1800.0021963119507,-0.4689999999999941
