time_s,delta_mass_g
0.0,-0.0009999999999763531
15.001967430114746,-0.002999999999985903
30.000813722610474,-0.005999999999971806
45.00049114227295,-0.016999999999995907
60.00042128562927,-0.019000000000005457
75.00143194198608,-0.01999999999998181
90.00110793113708,-0.026999999999986812
105.00141096115112,-0.03499999999996817
120.00169777870178,-0.036000000000001364
135.00242471694946,-0.03999999999996362
150.00215101242065,-0.043000000000006366
165.00187754631042,-0.06299999999998818
180.0001838207245,-0.07599999999996498
195.0014078617096,-0.08799999999996544
210.00084567070007,-0.09600000000000364
225.0028007030487,-0.10099999999999909
240.00203895568848,-0.10800000000000409
255.0024073123932,-0.11299999999999955
270.001912355423,-0.1239999999999668
285.00194931030273,-0.12899999999996226
300.0001804828644,-0.12599999999997635
315.00003361701965,-0.13400000000001455
330.00082206726074,-0.1419999999999959
345.0005753040314,-0.146000000000015
360.0008707046509,-0.1519999999999868
375.00348711013794,-0.14999999999997726
390.0015404224396,-0.13400000000001455
405.0004017353058,-0.13900000000001
420.0007483959198,-0.1419999999999959
435.0005235671997,-0.14999999999997726
450.0017514228821,-0.16300000000001091
465.00243616104126,-0.17599999999998772
480.001384973526,-0.18099999999998317
495.00067234039307,-0.17500000000001137
510.0004458427429,-0.17899999999997362
525.0014982223511,-0.17799999999999727
540.0004642009735,-0.18500000000000227
555.0012662410736,-0.19099999999997408
570.001158952713,-0.19499999999999318
585.0012023448944,-0.20199999999999818
600.0014142990112,-0.21399999999999864
615.0018594264984,-0.2249999999999659
630.0005826950073,-0.23500000000001364
645.0014553070068,-0.23699999999996635
660.0012407302856,-0.24099999999998545
675.0009167194366,-0.24500000000000455
690.0020813941956,-0.25
705.001886844635,-0.25200000000000955
720.0005288124084,-0.24500000000000455
735.0002958774567,-0.24500000000000455
750.0008609294891,-0.25099999999997635
765.0005452632904,-0.25499999999999545
780.0007371902466,-0.25900000000001455
795.0022466182709,-0.2629999999999768
810.0019788742065,-0.2629999999999768
825.0011804103851,-0.26499999999998636
840.0026795864105,-0.26499999999998636
855.0009701251984,-0.2699999999999818
870.001387834549,-0.26900000000000546
885.0003681182861,-0.2699999999999818
900.0007314682007,-0.27899999999999636
915.0022258758545,-0.28300000000001546
930.0007562637329,-0.28600000000000136
945.000242471695,-0.2869999999999777
960.0011019706726,-0.28499999999996817
975.000515460968,-0.2839999999999918
990.0006291866302,-0.2810000000000059
1005.003128528595,-0.28300000000001546
1020.0001375675201,-0.2880000000000109
1035.0029668807983,-0.28899999999998727
1050.0025963783264,-0.2869999999999777
1065.0008540153503,-0.2939999999999827
1080.002964258194,-0.3050000000000068
1095.0026760101318,-0.3089999999999691
1110.0025129318237,-0.3129999999999882
1125.002644777298,-0.31399999999996453
1140.0015332698822,-0.3159999999999741
1155.000738620758,-0.31899999999996
1170.001072883606,-0.31799999999998363
1185.0023169517517,-0.3129999999999882
1200.0012650489807,-0.3129999999999882
1215.0005431175232,-0.3089999999999691
1230.0022130012512,-0.3159999999999741
1245.000326871872,-0.32200000000000273
1260.0003170967102,-0.32799999999997453
1275.0033161640167,-0.33199999999999363
1290.0033614635468,-0.33199999999999363
1305.0004210472107,-0.33199999999999363
1320.0026576519012,-0.3340000000000032
1335.0007212162018,-0.33499999999997954
1350.0031917095184,-0.33499999999997954
1365.000681400299,-0.3429999999999609
1380.000551700592,-0.34600000000000364
1395.001540184021,-0.3509999999999991
1410.0002501010895,-0.3499999999999659
1425.0021822452545,-0.34899999999998954
1440.0024473667145,-0.34499999999997044
1455.0013415813446,-0.34499999999997044
1470.0018367767334,-0.34499999999997044
1485.0004544258118,-0.33899999999999864
1500.00275182724,-0.3439999999999941
1515.0015714168549,-0.3429999999999609
1530.0019538402557,-0.34899999999998954
1545.0023283958435,-0.3569999999999709
1560.0018291473389,-0.36000000000001364
1575.0021142959595,-0.36599999999998545
1590.0021617412567,-0.37000000000000455
1605.0026605129242,-0.3639999999999759
1620.0026879310608,-0.367999999999995
1635.0015451908112,-0.3650000000000091
1650.0022249221802,-0.35899999999998045
1665.000872850418,-0.35199999999997544
1680.0009489059448,-0.353999999999985
1695.0011954307556,-0.35300000000000864
1710.0016958713531,-0.35599999999999454
1725.000734090805,-0.3639999999999759
1740.0001482963562,-0.3669999999999618
1755.000762462616,-0.367999999999995
1770.00101852417,-0.3650000000000091
1785.0005090236664,-0.367999999999995
1800.0002210140228,-0.3650000000000091
