out_pump_steps_rate,in_pump_steps_rate,initial_mass,mass_3min,end_mass,delta_mass_end_minus_3min
170892.1871589773,172244.64369002997,0.0,-0.16800000000000637,-0.34699999999998,-0.17899999999997362
169892.1871589773,172244.64369002997,0.0,0.03500000000002501,0.103999999999985,0.06899999999995998
170392.0,172244.64369002997,0.0,0.006000000000028649,0.08100000000001728,0.07499999999998863
170642.0,172244.64369002997,0.0,0.003999999999962256,0.020999999999958163,0.016999999999995907
170767.0,172244.64369002997,0.0,0.007000000000005002,0.05899999999996908,0.051999999999964075
170830.0,172244.64369002997,0.0,0.0,0.04599999999999227,0.04599999999999227
170861.0,172244.64369002997,-0.005999999999971806,0.012999999999976808,0.1449999999999818,0.132000000000005
170877.0,172244.64369002997,-0.0049999999999954525,-0.002999999999985903,0.10200000000003229,0.10500000000001819
170885.0,172244.64369002997,-0.004000000000019099,0.003999999999962256,0.103999999999985,0.10000000000002274
170889.0,172244.64369002997,0.0,0.002999999999985903,0.12299999999999045,0.12000000000000455
170891.0,172244.64369002997,-0.002999999999985903,-0.0049999999999954525,0.11599999999998545,0.1209999999999809
170892.0,172244.64369002997,-0.0049999999999954525,0.01799999999997226,0.1239999999999668,0.10599999999999454
