out_pump_steps_rate,in_pump_steps_rate,initial_mass,mass_3min,end_mass,delta_mass_end_minus_3min
206137.02435277958,220767.69148572764,-0.006000000000028649,-0.09300000000001774,0.09800000000001319,0.19100000000003092
207137.02435277958,220767.69148572764,0.0,0.04599999999999227,0.19599999999996953,0.14999999999997726
208137.02435277958,220767.69148572764,0.0,0.028999999999996362,0.13400000000001455,0.10500000000001819
209137.02435277958,220767.69148572764,0.0,0.019000000000005457,0.05000000000001137,0.03100000000000591
210137.02435277958,220767.69148572764,0.0,0.012000000000000455,0.0020000000000095497,-0.009999999999990905
209637.0,220767.69148572764,0.0,0.007000000000005002,0.016999999999995907,0.009999999999990905
209887.0,220767.69148572764,0.0,-0.012999999999976808,0.02800000000002001,0.04099999999999682
210012.0,220767.69148572764,-0.0020000000000095497,0.0020000000000095497,-0.03200000000003911,-0.03400000000004866
209949.0,220767.69148572764,0.0,0.009999999999990905,0.018999999999948614,0.008999999999957708
209980.0,220767.69148572764,-0.0049999999999954525,-0.012999999999976808,-0.014999999999986358,-0.0020000000000095497
