out_pump_steps_rate,in_pump_steps_rate,initial_mass,mass_3min,end_mass,delta_mass_end_minus_3min
213320.49021842077,213122.6904481941,0.0,-0.09899999999998954,-0.07200000000000273,0.026999999999986812
214320.49021842077,213122.6904481941,0.0,0.015000000000043201,0.05600000000004002,0.04099999999999682
215320.49021842077,213122.6904481941,0.0,0.0020000000000095497,0.010999999999967258,0.008999999999957708
216320.49021842077,213122.6904481941,0.0,-0.002999999999985903,-0.0009999999999763531,0.0020000000000095497
217320.49021842077,213122.6904481941,0.002999999999985903,-0.016999999999995907,-0.06499999999999773,-0.04800000000000182
216820.0,213122.6904481941,0.0,-0.007999999999981355,-0.1490000000000009,-0.14100000000001955
216569.0,213122.6904481941,0.0,-0.014999999999986358,-0.10800000000000409,-0.09300000000001774
216444.0,213122.6904481941,0.0,-0.007999999999981355,-0.08800000000002228,-0.08000000000004093
216381.0,213122.6904481941,0.0,-0.01799999999997226,-0.10199999999997544,-0.08400000000000318
216350.0,213122.6904481941,0.0,-0.03100000000000591,-0.08600000000001273,-0.05500000000000682
216334.0,213122.6904481941,0.0,-0.02199999999999136,-0.06999999999999318,-0.04800000000000182
216326.0,213122.6904481941,0.0,-0.022999999999967713,-0.04099999999999682,-0.018000000000029104
216322.0,213122.6904481941,0.0,-0.01599999999996271,-0.04199999999997317,-0.02600000000001046
216320.0,213122.6904481941,0.0,-0.014000000000010004,-0.05200000000002092,-0.038000000000010914
