time_s,delta_mass_g
0.0,0.0020000000000095497
15.000903129577637,0.016999999999995907
30.00137972831726,-0.012000000000000455
45.0011510848999,0.0
60.001840353012085,-0.016999999999995907
75.00190544128418,-0.007999999999981355
90.00277066230774,-0.01799999999997226
105.00083804130554,-0.026999999999986812
120.00156760215759,-0.014999999999986358
135.00182795524597,-0.028999999999996362
150.0013678073883,-0.025999999999953616
165.00089645385742,-0.03799999999995407
180.0033814907074,-0.03699999999997772
195.00008130073547,-0.04099999999999682
210.00168228149414,-0.04399999999998272
225.00021171569824,-0.05500000000000682
240.00218415260315,-0.04699999999996862
255.0017650127411,-0.06799999999998363
270.0008854866028,-0.04899999999997817
285.0019562244415,-0.06499999999999773
300.0003550052643,-0.07099999999996953
315.00105834007263,-0.07299999999997908
330.0017740726471,-0.08799999999996544
345.0023617744446,-0.08299999999996999
360.0013077259064,-0.09899999999998954
375.000066280365,-0.08499999999997954
390.00153136253357,-0.10099999999999909
405.00062561035156,-0.10099999999999909
420.00073313713074,-0.11199999999996635
435.0016837120056,-0.11299999999999955
450.0015404224396,-0.12199999999995725
465.0009922981262,-0.117999999999995
480.00278210639954,-0.1269999999999527
495.00200033187866,-0.1269999999999527
510.0033950805664,-0.13700000000000045
525.0032346248627,-0.14400000000000546
540.0001108646393,-0.13999999999998636
555.0000660419464,-0.16299999999995407
570.0031530857086,-0.15099999999995362
585.0002391338348,-0.17499999999995453
600.0000247955322,-0.15699999999998226
615.0000457763672,-0.17599999999998772
630.0004658699036,-0.17499999999995453
645.0002548694611,-0.18000000000000682
660.0020270347595,-0.18799999999998818
675.0004765987396,-0.18899999999996453
690.0006217956543,-0.19599999999996953
705.0023946762085,-0.19599999999996953
720.0029330253601,-0.2039999999999509
735.0027391910553,-0.19899999999995543
750.0021884441376,-0.21299999999996544
765.0017600059509,-0.2039999999999509
780.0003237724304,-0.22299999999995634
795.0005671977997,-0.20599999999996044
810.0022957324982,-0.21599999999995134
825.001672744751,-0.20999999999997954
840.0016150474548,-0.22199999999998
855.0001888275146,-0.22100000000000364
870.0030426979065,-0.21199999999998909
885.0017664432526,-0.23399999999998045
900.0021612644196,-0.228999999999985
915.0016007423401,-0.2419999999999618
930.000869512558,-0.2349999999999568
945.0015926361084,-0.2389999999999759
960.0021753311157,-0.24399999999997135
975.0023438930511,-0.2519999999999527
990.0018398761749,-0.24500000000000455
1005.0018293857574,-0.26099999999996726
1020.003481388092,-0.24500000000000455
1035.0017461776733,-0.25499999999999545
1050.0007164478302,-0.2519999999999527
1065.0023205280304,-0.2629999999999768
1080.001303911209,-0.27499999999997726
1095.0023260116577,-0.26499999999998636
1110.002917289734,-0.29300000000000637
1125.0001864433289,-0.27899999999999636
1140.0033576488495,-0.29899999999997817
1155.0024437904358,-0.2909999999999968
1170.0005910396576,-0.29300000000000637
1185.001454591751,-0.2969999999999686
1200.001130104065,-0.2909999999999968
1215.0010554790497,-0.29899999999997817
1230.0010395050049,-0.31399999999996453
1245.002905368805,-0.3149999999999977
1260.0033295154572,-0.31799999999998363
1275.0004358291626,-0.3129999999999882
1290.002040863037,-0.3199999999999932
1305.001779794693,-0.32799999999997453
1320.0028805732727,-0.32099999999996953
1335.0010509490967,-0.339999999999975
1350.0014100074768,-0.3269999999999982
1365.0003941059113,-0.3439999999999941
1380.0002925395966,-0.33899999999999864
1395.0015015602112,-0.3429999999999609
1410.0022106170654,-0.3499999999999659
1425.000005722046,-0.35499999999996135
1440.0015511512756,-0.3709999999999809
1455.0028879642487,-0.36299999999999955
1470.0026199817657,-0.375
1485.0031440258026,-0.36899999999997135
1500.0035002231598,-0.3809999999999718
1515.0020225048065,-0.37999999999999545
1530.001220703125,-0.38899999999995316
1545.001493692398,-0.37299999999999045
1560.0019776821136,-0.39599999999995816
1575.001125574112,-0.38599999999996726
1590.0007629394531,-0.3979999999999677
1605.0005278587341,-0.39400000000000546
1620.0033321380615,-0.39599999999995816
1635.0025310516357,-0.40999999999996817
1650.0016741752625,-0.39299999999997226
1665.0004696846008,-0.4189999999999827
1680.0005860328674,-0.39699999999999136
1695.0025107860565,-0.4089999999999918
1710.0005824565887,-0.41699999999997317
1725.0005066394806,-0.4149999999999636
1740.001550912857,-0.42399999999997817
1755.0013551712036,-0.4350000000000023
1770.0033502578735,-0.4259999999999877
1785.0027680397034,-0.436999999999955
1800.000914812088,-0.43899999999996453
