time_s,delta_mass_g
0.0,0.0
15.000348567962646,-0.016000000000019554
30.00066041946411,-0.005000000000052296
45.00303363800049,-0.016000000000019554
60.00219798088074,-0.005000000000052296
75.00000810623169,-0.010000000000047748
90.00298547744751,-0.009000000000014552
105.00054502487183,-0.036000000000001364
120.00313806533813,-0.03000000000002956
135.00015354156494,-0.03900000000004411
150.00093841552734,-0.04800000000000182
165.00043892860413,-0.06499999999999773
180.0004198551178,-0.06600000000003092
195.00153970718384,-0.06200000000001182
210.00208640098572,-0.07500000000004547
225.00039315223694,-0.07400000000001228
240.0013644695282,-0.1150000000000091
255.00022530555725,-0.11400000000003274
270.001353263855,-0.11700000000001864
285.00066018104553,-0.11000000000001364
300.0016293525696,-0.1230000000000473
315.0005600452423,-0.1220000000000141
330.00323033332825,-0.14100000000001955
345.0012459754944,-0.14100000000001955
360.00048065185547,-0.1470000000000482
375.00053906440735,-0.1430000000000291
390.00134348869324,-0.1570000000000391
405.00019788742065,-0.1570000000000391
420.000004529953,-0.15399999999999636
435.0002632141113,-0.1570000000000391
450.00126791000366,-0.1640000000000441
465.0011336803436,-0.18100000000004002
480.0017249584198,-0.16700000000003
495.0005211830139,-0.17200000000002547
510.0012719631195,-0.17400000000003502
525.001583814621,-0.18900000000002137
540.0003490447998,-0.20600000000001728
555.000482082367,-0.20700000000005048
570.0005826950073,-0.19600000000002638
585.0010151863098,-0.20700000000005048
600.0016355514526,-0.20600000000001728
615.0028727054596,-0.23200000000002774
630.0020508766174,-0.22800000000000864
645.002049446106,-0.2259999999999991
660.0005407333374,-0.21399999999999864
675.0030181407928,-0.2340000000000373
690.0021402835846,-0.23500000000001364
705.0005061626434,-0.24500000000000455
720.003404378891,-0.23600000000004684
735.0033514499664,-0.25900000000001455
750.0024502277374,-0.27800000000002
765.0017237663269,-0.27300000000002456
780.001211643219,-0.271000000000015
795.0011069774628,-0.27700000000004366
810.0009710788727,-0.2909999999999968
825.0016870498657,-0.2880000000000109
840.0000736713409,-0.29300000000000637
855.0030674934387,-0.30600000000004
870.0013129711151,-0.30800000000004957
885.0008945465088,-0.30700000000001637
900.0013160705566,-0.3230000000000359
915.0007588863373,-0.3160000000000309
930.0023431777954,-0.3149999999999977
945.0021076202393,-0.3160000000000309
960.0002188682556,-0.3250000000000455
975.0003988742828,-0.3269999999999982
990.000387430191,-0.34300000000001774
1005.0021698474884,-0.32900000000000773
1020.0006387233734,-0.3350000000000364
1035.0001473426819,-0.33700000000004593
1050.0007796287537,-0.35000000000002274
1065.0017964839935,-0.36700000000001864
1080.0003204345703,-0.3560000000000514
1095.0010652542114,-0.35700000000002774
1110.002097606659,-0.3560000000000514
1125.0013902187347,-0.3800000000000523
1140.000220298767,-0.36400000000003274
1155.0010950565338,-0.36800000000005184
1170.0012860298157,-0.3660000000000423
1185.0027251243591,-0.3730000000000473
1200.0018498897552,-0.38100000000002865
1215.001348733902,-0.3900000000000432
1230.001596212387,-0.37000000000000455
1245.0020098686218,-0.39100000000001955
1260.0012648105621,-0.3990000000000009
1275.0007104873657,-0.41500000000002046
1290.0031480789185,-0.42600000000004457
1305.0028104782104,-0.4159999999999968
1320.0020532608032,-0.41900000000003956
1335.001128435135,-0.424000000000035
1350.001630783081,-0.4370000000000118
1365.000449180603,-0.43100000000004
1380.0005769729614,-0.4370000000000118
1395.0030808448792,-0.4390000000000214
1410.0030372142792,-0.4550000000000409
1425.0002553462982,-0.4570000000000505
1440.0003106594086,-0.46900000000005093
1455.0024960041046,-0.4530000000000314
1470.0021772384644,-0.4670000000000414
1485.0010628700256,-0.47500000000002274
1500.0003640651703,-0.4800000000000182
1515.001995563507,-0.47800000000000864
1530.0004997253418,-0.4840000000000373
1545.0018451213837,-0.4810000000000514
1560.0004377365112,-0.49300000000005184
1575.0023663043976,-0.49200000000001864
1590.0029697418213,-0.48200000000002774
1605.0020713806152,-0.48799999999999955
1620.0024774074554,-0.5010000000000332
1635.001356124878,-0.5120000000000005
1650.0026006698608,-0.51400000000001
1665.000878572464,-0.51400000000001
1680.0021369457245,-0.51400000000001
1695.0014345645905,-0.5260000000000105
1710.0002059936523,-0.5250000000000341
1725.0011293888092,-0.5390000000000441
1740.0028455257416,-0.5260000000000105
1755.0024826526642,-0.5370000000000346
1770.0012414455414,-0.535000000000025
1785.0011949539185,-0.5510000000000446
1800.0012283325195,-0.5400000000000205
