time_s,delta_mass_g
0.0,0.0
15.000056266784668,-0.028999999999996362
30.00152826309204,-0.028999999999996362
45.00224757194519,-0.03200000000003911
60.001121044158936,-0.028999999999996362
75.00146746635437,-0.03900000000004411
90.00212073326111,-0.04800000000000182
105.00272250175476,-0.05400000000003047
120.00088715553284,-0.05400000000003047
135.0027141571045,-0.06200000000001182
150.00281882286072,-0.06600000000003092
165.00067520141602,-0.06900000000001683
180.00024127960205,-0.07200000000000273
195.00172901153564,-0.06200000000001182
210.00190258026123,-0.06200000000001182
225.00007033348083,-0.07300000000003593
240.00318694114685,-0.08400000000000318
255.00168752670288,-0.07900000000000773
270.0032458305359,-0.07200000000000273
285.001540184021,-0.07500000000004547
300.00208616256714,-0.09399999999999409
315.0000944137573,-0.08800000000002228
330.00302624702454,-0.08100000000001728
345.00289821624756,-0.08400000000000318
360.0010690689087,-0.09800000000001319
375.00161027908325,-0.09800000000001319
390.00076031684875,-0.09300000000001774
405.0022988319397,-0.10099999999999909
420.0019807815552,-0.1150000000000091
435.0019054412842,-0.12100000000003774
450.00250935554504,-0.11000000000001364
465.00023126602173,-0.10800000000000409
480.00245213508606,-0.125
495.0016794204712,-0.14100000000001955
510.002055644989,-0.1360000000000241
525.0005514621735,-0.13100000000002865
540.0020489692688,-0.14400000000000546
555.0021479129791,-0.16100000000000136
570.0025317668915,-0.16100000000000136
585.0007607936859,-0.160000000000025
600.001690864563,-0.1640000000000441
615.0003213882446,-0.1640000000000441
630.0030138492584,-0.1710000000000491
645.0028402805328,-0.17500000000001137
660.0012888908386,-0.17500000000001137
675.0000078678131,-0.17400000000003502
690.0010917186737,-0.17700000000002092
705.000895023346,-0.18900000000002137
720.0004847049713,-0.18300000000004957
735.000004529953,-0.18000000000000682
750.0013551712036,-0.18100000000004002
765.0002653598785,-0.19100000000003092
780.0006210803986,-0.18800000000004502
795.001606464386,-0.17900000000003047
810.0022172927856,-0.18500000000000227
825.0017912387848,-0.20000000000004547
840.0013825893402,-0.20699999999999363
855.0021231174469,-0.20000000000004547
870.0002319812775,-0.20000000000004547
885.0009105205536,-0.22100000000000364
900.0029196739197,-0.2230000000000132
915.0020220279694,-0.21600000000000819
930.0001773834229,-0.20800000000002683
945.0004839897156,-0.2230000000000132
960.001668214798,-0.2300000000000182
975.0003144741058,-0.22000000000002728
990.0016846656799,-0.21700000000004138
1005.002415895462,-0.2300000000000182
1020.0034008026123,-0.2300000000000182
1035.0005369186401,-0.22400000000004638
1050.0022401809692,-0.2330000000000041
1065.0024359226227,-0.2259999999999991
1080.0006074905396,-0.23600000000004684
1095.0002884864807,-0.23600000000004684
1110.0021855831146,-0.23799999999999955
1125.0019249916077,-0.242999999999995
1140.0024859905243,-0.23600000000004684
1155.0012414455414,-0.23900000000003274
1170.0021014213562,-0.2510000000000332
1185.0028820037842,-0.242999999999995
1200.000691652298,-0.2370000000000232
1215.0016083717346,-0.23900000000003274
1230.0014748573303,-0.25900000000001455
1245.0005440711975,-0.257000000000005
1260.001603603363,-0.24200000000001864
1275.003469467163,-0.24600000000003774
1290.0019629001617,-0.26200000000000045
1305.0004456043243,-0.26300000000003365
1320.001883983612,-0.24600000000003774
1335.0025601387024,-0.2540000000000191
1350.0018002986908,-0.271000000000015
1365.0029783248901,-0.26900000000000546
1380.0031638145447,-0.271000000000015
1395.00128531456,-0.2650000000000432
1410.0013835430145,-0.27700000000004366
1425.0011532306671,-0.285000000000025
1440.0004580020905,-0.2820000000000391
1455.003223657608,-0.27700000000004366
1470.0025279521942,-0.285000000000025
1485.0032658576965,-0.28700000000003456
1500.0028796195984,-0.2909999999999968
1515.001163482666,-0.2960000000000491
1530.0010347366333,-0.2909999999999968
1545.001498222351,-0.29700000000002547
1560.0000731945038,-0.3020000000000209
1575.0010077953339,-0.3020000000000209
1590.0003082752228,-0.29200000000003
1605.000165462494,-0.29200000000003
1620.001341342926,-0.3020000000000209
1635.0020914077759,-0.3090000000000259
1650.0034103393555,-0.3050000000000068
1665.0012788772583,-0.2980000000000018
1680.00071310997,-0.30800000000004957
1695.0010254383087,-0.32200000000000273
1710.000339269638,-0.3170000000000073
1725.0007042884827,-0.3050000000000068
1740.001938343048,-0.3180000000000405
1755.0018298625946,-0.34000000000003183
1770.0013830661774,-0.3350000000000364
1785.0014145374298,-0.32000000000005
1800.001879453659,-0.3210000000000264
