steps_rate,duration,delta_mass,ml_rate
195000.0,60.00256299972534,1.204999999999984,0.020082475477014205
90000.0,60.002338886260986,3.5,0.058331059504772256
50000.0,60.00165104866028,1.3670000000000186,0.022782706410718695
115000.0,60.00318789482117,-0.24799999999999045,0.004133113734468684
95000.0,60.003230810165405,-0.5240000000000009,0.008732863096285605
55000.0,60.00237965583801,-0.25,0.00416650141934289
245000.0,60.00238561630249,-1.3909999999999627,0.02318241159434887
130000.0,60.003036975860596,-0.8400000000000318,0.013999291408165996
65000.0,60.00180006027222,-0.36099999999999,0.006016486166037736
220000.0,60.00163245201111,-1.43100000000004,0.02384935111798073
135000.0,60.002763509750366,-0.6409999999999627,0.010682841297731246
70000.0,60.00088834762573,-0.4800000000000182,0.007999881555403873
160000.0,60.00163698196411,-0.8910000000000196,0.01484959485801771
185000.0,60.00314116477966,-1.1059999999999945,0.018432368348228888
145000.0,60.001850605010986,-0.8880000000000337,0.014799543531510232
150000.0,60.001927614212036,-0.875,0.014582864831041658
240000.0,60.003185749053955,-1.38900000000001,0.02314877089708374
235000.0,60.00091886520386,-1.4149999999999636,0.023582972173790493
190000.0,60.002089977264404,-1.2930000000000064,0.021549249375979095
155000.0,60.00116586685181,-0.5889999999999986,0.009816475921602001
60000.0,60.0017192363739,-0.37000000000000455,0.006166489972435744
250000.0,60.000781774520874,-1.44399999999996,0.024066353092305034
110000.0,60.003421783447266,-0.7609999999999673,0.01268261004758064
180000.0,60.0026273727417,-0.9470000000000027,0.01578264221860076
215000.0,60.00082778930664,-1.365000000000009,0.022749686134218294
125000.0,60.00180220603943,-0.6310000000000286,0.010516350789485384
200000.0,60.00177025794983,-1.1610000000000014,0.01934942910865495
175000.0,60.00261902809143,-1.0879999999999654,0.018132541839391985
230000.0,60.00311517715454,-1.4089999999999918,0.023482114150907476
225000.0,60.0023353099823,-1.2180000000000177,0.020299209917541076
75000.0,60.00080394744873,-0.48799999999999955,0.008133224355250487
80000.0,60.001933097839355,-0.4910000000000423,0.008183069688761794
100000.0,60.0024778842926,-0.59699999999998,0.00994958910115714
165000.0,60.00218105316162,-0.9790000000000418,0.016316073562936868
205000.0,60.00061845779419,-1.1709999999999923,0.019516465498163164
210000.0,60.0017876625061,-1.2160000000000082,0.020266062851988356
140000.0,60.001744508743286,-0.8109999999999786,0.013516273679039481
85000.0,60.00211548805237,-0.5360000000000014,0.008933018371772738
105000.0,60.00206470489502,-0.5730000000000359,0.009549671379113228
170000.0,60.00198149681091,-1.0489999999999782,0.01748275596624642
120000.0,60.00196957588196,-0.6929999999999836,0.011549620869087902
