steps_rate,duration,delta_mass,ml_rate
200000.0,20.00312352180481,0.0,0.0
200000.0,20.002588033676147,0.0,0.0
200000.0,20.00219440460205,0.0,0.0
200000.0,20.003094911575317,0.0,0.0
200000.0,20.00303816795349,0.0,0.0
200000.0,20.003116607666016,0.0,0.0
200000.0,20.002177715301514,0.0,0.0
200000.0,20.00251841545105,0.0,0.0
200000.0,20.002097845077515,0.0,0.0
200000.0,20.002315998077393,0.0,0.0
200000.0,20.000838041305542,0.0,0.0
200000.0,20.002548694610596,0.0,0.0
200000.0,20.002244472503662,0.0,0.0
200000.0,20.00059962272644,0.0,0.0
200000.0,20.002452850341797,0.0,0.0
200000.0,20.003477334976196,0.0,0.0
200000.0,20.00309729576111,0.0,0.0
200000.0,20.00349473953247,0.0,0.0
200000.0,20.001851081848145,0.0,0.0
200000.0,20.002341270446777,0.0,0.0
200000.0,20.001976013183594,0.0,0.0
200000.0,20.002935647964478,0.0,0.0
200000.0,20.00072741508484,0.0,0.0
200000.0,20.001797914505005,0.0,0.0
