time,vial_A_180_degree,vial_A_135_degree,vial_B_180_degree,vial_B_135_degree,vial_C_180_degree,vial_C_135_degree,vial_D_180_degree,vial_D_135_degree,vial_A_reference,vial_B_reference,vial_C_reference,vial_D_reference,io_temp_in,io_temp_out,vial_A_temp,vial_B_temp,vial_C_temp,vial_D_temp,peltier_current
9.775161743164062e-06,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.018359655146105134,0.2019562066071565,0.05507896543831541,0.07343862058442054,2.0379217212176703,2.056281376363775,25.687,26.125,25.75,25.875,3.1574
12.43350625038147,0.07343862058442054,0.03671931029221027,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.03671931029221027,0.07343862058442054,0.03671931029221027,0.07343862058442054,0.03671931029221027,2.0379217212176703,2.056281376363775,25.75,26.125,25.75,25.937,-0.0403
24.79127812385559,0.05507896543831541,0.03671931029221027,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.03671931029221027,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.45899137865262835,0.03671931029221027,2.0195620660715647,2.0379217212176703,25.75,26.187,25.812,25.937,2.4988
37.05032277107239,0.07343862058442054,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.03671931029221027,0.03671931029221027,0.018359655146105134,2.00120241092546,2.0195620660715647,25.812,26.187,25.812,25.937,3.2
49.445024490356445,0.07343862058442054,0.05507896543831541,0.03671931029221027,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.018359655146105134,0.05507896543831541,0.018359655146105134,0.018359655146105134,1.9644831006332495,2.00120241092546,25.875,26.25,25.875,26.0,3.2
61.70758509635925,0.05507896543831541,0.03671931029221027,0.03671931029221027,0.03671931029221027,0.05507896543831541,0.03671931029221027,0.05507896543831541,0.03671931029221027,0.018359655146105134,0.018359655146105134,0.018359655146105134,0.018359655146105134,1.9461234454871446,1.9828427557793546,25.875,26.312,25.937,26.062,2.4988
74.2701153755188,0.03671931029221027,0.05507896543831541,0.03671931029221027,0.03671931029221027,0.05507896543831541,0.03671931029221027,0.05507896543831541,0.05507896543831541,0.018359655146105134,0.03671931029221027,0.05507896543831541,0.03671931029221027,1.9277637903410392,1.9644831006332495,25.937,26.437,26.0,26.125,1.4678000000000002
86.85743451118469,0.12851758602273594,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.03671931029221027,0.05507896543831541,0.018359655146105134,1.909404135194934,1.9277637903410392,25.937,26.5,26.062,26.187,2.262
99.10349082946777,0.07343862058442054,0.03671931029221027,0.03671931029221027,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.03671931029221027,0.018359655146105134,0.018359655146105134,0.03671931029221027,0.0,1.8910444800488289,1.9277637903410392,25.937,26.562,26.125,26.312,0.7975
111.37734746932983,0.03671931029221027,0.03671931029221027,0.03671931029221027,0.03671931029221027,0.05507896543831541,0.03671931029221027,0.05507896543831541,0.03671931029221027,0.018359655146105134,0.018359655146105134,0.018359655146105134,0.018359655146105134,1.8543251697566188,1.909404135194934,26.0,26.625,26.187,26.375,3.2
123.68584942817688,0.07343862058442054,0.05507896543831541,0.05507896543831541,0.07343862058442054,0.05507896543831541,0.03671931029221027,0.05507896543831541,0.05507896543831541,0.03671931029221027,0.03671931029221027,0.05507896543831541,0.03671931029221027,1.8543251697566188,1.8910444800488289,26.0,26.75,26.25,26.437,1.683
136.22436618804932,0.03671931029221027,0.03671931029221027,0.03671931029221027,0.03671931029221027,0.03671931029221027,0.03671931029221027,0.05507896543831541,0.03671931029221027,0.018359655146105134,0.03671931029221027,0.03671931029221027,0.018359655146105134,1.8359655146105134,1.872684824902724,25.937,26.812,26.25,26.437,1.6469
148.76365852355957,0.03671931029221027,0.03671931029221027,0.03671931029221027,0.03671931029221027,0.03671931029221027,0.03671931029221027,0.05507896543831541,0.03671931029221027,0.018359655146105134,0.03671931029221027,0.03671931029221027,0.018359655146105134,1.7992462043183033,1.8176058594644084,25.937,26.875,26.25,26.5,3.1373
161.1570029258728,0.03671931029221027,0.03671931029221027,0.03671931029221027,0.03671931029221027,0.05507896543831541,0.03671931029221027,0.05507896543831541,0.05507896543831541,0.018359655146105134,0.03671931029221027,0.09179827573052568,0.03671931029221027,1.7808865491721981,1.8359655146105134,25.937,26.937,26.312,26.562,3.0727
173.74711871147156,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.07343862058442054,0.05507896543831541,1.7625268940260932,1.8176058594644084,25.937,27.0,26.312,26.562,2.9824
186.34116291999817,0.03671931029221027,0.03671931029221027,0.03671931029221027,0.03671931029221027,0.05507896543831541,0.03671931029221027,0.05507896543831541,0.05507896543831541,0.018359655146105134,0.03671931029221027,0.03671931029221027,0.018359655146105134,1.7441672388799878,1.7808865491721981,26.0,27.125,26.312,26.687,2.9552000000000005
198.8772304058075,0.09179827573052568,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.03671931029221027,0.03671931029221027,0.03671931029221027,0.018359655146105134,1.7258075837338827,1.7808865491721981,26.0,27.187,26.375,26.75,2.9479
