steps_rate,duration,delta_mass,ml_rate
190000.0,60.00319290161133,-1.238000000000003,0.020632235388373103
205000.0,60.0017306804657,-1.3580000000000005,0.02263268050103285
185000.0,60.00208377838135,-1.0429999999999993,0.0173827296373962
130000.0,60.00203824043274,-0.7339999999999982,0.012232917772873053
95000.0,60.00188136100769,-0.5559999999999974,0.00926637611002169
200000.0,60.00261616706848,-1.1260000000000012,0.018765848423422396
90000.0,60.00094556808472,-0.5169999999999995,0.00861653087472339
165000.0,60.00306057929993,-0.9310000000000009,0.015515875207225357
50000.0,60.000691652297974,-0.29699999999999704,0.004949942939343137
80000.0,60.00211715698242,-0.46300000000000097,0.007716394386362446
235000.0,60.00297164916992,-1.315999999999999,0.021932247084269274
250000.0,60.002785205841064,-1.407,0.02344891149924543
115000.0,60.00291419029236,-0.6490000000000009,0.010816141328432347
75000.0,60.002177715301514,-0.4319999999999986,0.007199738683648339
60000.0,60.0019257068634,-0.357999999999997,0.005966475171963467
150000.0,60.00284767150879,-0.8490000000000002,0.014149328456008126
105000.0,60.00352454185486,-0.6020000000000003,0.010032743986231695
175000.0,60.00210642814636,-0.9879999999999995,0.016466088589458902
225000.0,60.001938581466675,-1.2540000000000013,0.02089932474927294
245000.0,60.002989292144775,-1.3699999999999992,0.02283219579827419
240000.0,60.002585887908936,-1.3490000000000002,0.022482364385429526
210000.0,60.002925634384155,-1.189,0.01981570044175736
230000.0,60.00210237503052,-1.2829999999999995,0.021382584096485118
145000.0,60.00174307823181,-0.822000000000001,0.013699602008699251
170000.0,60.00205659866333,-0.9779999999999998,0.016299441309846483
220000.0,60.00198554992676,-1.2249999999999996,0.020415991050507745
55000.0,60.00042939186096,-0.3279999999999994,0.005466627544577081
160000.0,60.00202465057373,-0.9200000000000008,0.01533281594009018
140000.0,60.00111484527588,-0.7949999999999999,0.013249753809575979
120000.0,60.00233840942383,-0.6870000000000003,0.011449553770926062
195000.0,60.003238677978516,-1.0990000000000002,0.018315678023615393
85000.0,60.00287675857544,-0.4930000000000003,0.008216272729449463
155000.0,60.00255060195923,-0.8720000000000003,0.014532715547120881
180000.0,60.00318908691406,-1.0179999999999998,0.016965764911685548
65000.0,60.0027232170105,-0.37200000000000033,0.006199718613680187
100000.0,60.00212001800537,-0.579,0.009649659042484736
135000.0,60.002686738967896,-0.7679999999999999,0.012799426854685044
125000.0,60.00224423408508,-0.34,0.0056664547191529625
70000.0,60.000508308410645,0.417,0.006949941121441241
215000.0,60.00296068191528,1.197,0.019949015621837013
110000.0,60.001917123794556,0.623,0.01038300157501036
