time_s,delta_mass_g
0.0,0.0
15.001630544662476,-0.11299999999999955
30.0035879611969,-0.21600000000000819
45.00517725944519,-0.21600000000000819
60.00590109825134,-0.18000000000000682
75.00677919387817,-0.15000000000000568
90.00759220123291,-0.14799999999999613
105.00810933113098,-0.1349999999999909
120.01033782958984,-0.17099999999999227
135.0106222629547,-0.1769999999999925
150.01069283485413,-0.23599999999999
165.0138247013092,-0.3160000000000025
180.0142741203308,-0.47399999999998954
195.01677227020264,-0.7560000000000002
210.01912212371826,-1.0509999999999877
225.02084732055664,-1.2870000000000061
240.02152299880981,-1.5670000000000073
255.0241093635559,-1.853999999999985
270.0258228778839,-1.9519999999999982
285.02762174606323,-1.9559999999999889
300.0276720523834,-1.9399999999999977
315.028382062912,-1.9559999999999889
330.029244184494,-1.9399999999999977
345.0314393043518,-1.953000000000003
360.0343587398529,-1.9399999999999977
375.035888671875,-1.9429999999999836
390.036497592926,-1.9259999999999877
405.0371332168579,-1.9259999999999877
420.0386028289795,-1.9189999999999827
435.03941822052,-1.9170000000000016
450.04100704193115,-1.9129999999999825
465.0434424877167,-1.9029999999999916
480.0457274913788,-1.906000000000006
495.0467486381531,-1.8909999999999911
510.0496332645416,-1.899000000000001
525.0506970882416,-1.8770000000000095
540.0513570308685,-1.8870000000000005
555.0530450344086,-1.8710000000000093
570.0533933639526,-1.8739999999999952
585.0557582378387,-1.8640000000000043
600.0581710338593,-1.8559999999999945
615.0584816932678,-1.8569999999999993
630.0608248710632,-1.8449999999999989
645.0613021850586,-1.8530000000000086
660.0627632141113,-1.836999999999989
675.0658905506134,-1.836999999999989
690.067843914032,-1.8340000000000032
705.0699672698975,-1.8340000000000032
720.0701668262482,-1.829999999999984
735.0721077919006,-1.8160000000000025
750.0739860534668,-1.8149999999999977
765.0746581554413,-1.8050000000000068
780.0773811340332,-1.8050000000000068
795.0791738033295,-1.8029999999999973
810.0817368030548,-1.7980000000000018
825.083441734314,-1.7939999999999827
840.0837795734406,-1.7839999999999918
855.0859506130219,-1.7849999999999966
870.0874876976013,-1.7800000000000011
885.0885581970215,-1.7750000000000057
900.0887715816498,-1.7699999999999818
915.0890073776245,-1.7649999999999864
930.0897741317749,-1.7639999999999816
945.093180179596,-1.7560000000000002
960.0952849388123,-1.75
975.0970804691315,-1.7520000000000095
990.0983245372772,-1.740000000000009
1005.0992963314056,-1.75
1020.1010594367981,-1.7379999999999995
1035.1036570072174,-1.7340000000000089
1050.1063723564148,-1.73599999999999
1065.1064898967743,-1.7229999999999848
1080.107757806778,-1.7299999999999898
1095.1085274219513,-1.7079999999999984
1110.1119532585144,-1.7220000000000084
1125.1150887012482,-1.7019999999999982
1140.116585969925,-1.7129999999999939
1155.1178932189941,-1.6970000000000027
1170.119506597519,-1.6999999999999886
1185.122085571289,-1.6949999999999932
1200.123479604721,-1.6829999999999927
1215.1262340545654,-1.6879999999999882
1230.1279520988464,-1.6680000000000064
1245.1287763118744,-1.6800000000000068
1260.1314277648926,-1.656000000000006
1275.1323647499084,-1.6639999999999873
1290.1331000328064,-1.6469999999999914
1305.133381843567,-1.6569999999999823
1320.1354928016663,-1.6389999999999816
1335.135722398758,-1.6469999999999914
1350.1384603977203,-1.6409999999999911
1365.1410629749298,-1.6370000000000005
1380.1429281234741,-1.6310000000000002
1395.1435556411743,-1.627999999999986
1410.1465516090393,-1.6210000000000093
1425.149122953415,-1.61099999999999
1440.1506459712982,-1.6169999999999902
1455.1514782905579,-1.5970000000000084
1470.1546173095703,-1.6119999999999948
1485.156801700592,-1.586999999999989
1500.1580498218536,-1.6059999999999945
1515.1580910682678,-1.5739999999999839
1530.159611940384,-1.5919999999999845
1545.1609001159668,-1.5720000000000027
1560.1628658771515,-1.5739999999999839
1575.1633327007294,-1.5689999999999884
1590.1653897762299,-1.5550000000000068
1605.1660130023956,-1.5649999999999977
1620.1664412021637,-1.5420000000000016
1635.1680512428284,-1.5619999999999834
1650.1702947616577,-1.5339999999999918
1665.171021938324,-1.5519999999999925
1680.1726937294006,-1.532999999999987
1695.1748356819153,-1.5420000000000016
1710.1748774051666,-1.5279999999999916
1725.1773743629456,-1.525999999999982
1740.1776156425476,-1.5190000000000055
1755.1794810295105,-1.5139999999999816
1770.1798105239868,-1.5130000000000052
1785.1824588775635,-1.5039999999999907
1800.1828718185425,-1.5039999999999907
1815.1858983039856,-1.492999999999995
1830.1862790584564,-1.4979999999999905
1845.187038898468,-1.4799999999999898
1860.1883716583252,-1.490000000000009
1875.1887612342834,-1.4660000000000082
1890.1901686191559,-1.4809999999999945
1905.1905224323273,-1.4609999999999843
1920.1920521259308,-1.4710000000000036
1935.1942615509033,-1.4569999999999936
1950.1964781284332,-1.4509999999999934
1965.1978764533997,-1.4540000000000077
1980.2010750770569,-1.436000000000007
1995.2028799057007,-1.4509999999999934
2010.2035024166107,-1.424999999999983
2025.2058794498444,-1.4410000000000025
2040.2080972194672,-1.4180000000000064
2055.2108471393585,-1.424999999999983
2070.2132272720337,-1.4129999999999825
2085.2166883945465,-1.4069999999999823
2100.219823360443,-1.4089999999999918
2115.2201113700867,-1.400999999999982
2130.2225291728973,-1.400999999999982
2145.22261095047,-1.3930000000000007
2160.223929643631,-1.3930000000000007
2175.2259407043457,-1.3870000000000005
2190.227421283722,-1.3829999999999814
2205.228302717209,-1.3810000000000002
2220.2296566963196,-1.3719999999999857
2235.2309436798096,-1.3729999999999905
2250.2326543331146,-1.3719999999999857
2265.2346873283386,-1.36099999999999
2280.237075328827,-1.3619999999999948
2295.2379672527313,-1.3479999999999848
2310.2399661540985,-1.3499999999999943
2325.2421567440033,-1.3329999999999984
2340.2423622608185,-1.3290000000000077
2355.2447283267975,-1.329999999999984
2370.246144771576,-1.3230000000000075
2385.249538421631,-1.3199999999999932
2400.2531504631042,-1.3100000000000023
2415.255009174347,-1.313999999999993
2430.256908893585,-1.299999999999983
2445.257264614105,-1.289999999999992
2460.258637905121,-1.2879999999999825
2475.260315656662,-1.2750000000000057
2490.2612869739532,-1.281000000000006
2505.262873649597,-1.2680000000000007
2520.2641112804413,-1.2719999999999914
2535.267479658127,-1.259999999999991
2550.2690722942352,-1.2549999999999955
2565.2696409225464,-1.259999999999991
2580.2718422412872,-1.2439999999999998
2595.2722265720367,-1.2479999999999905
2610.2759737968445,-1.2280000000000086
2625.278804063797,-1.2409999999999854
2640.279203414917,-1.2220000000000084
2655.282596349716,-1.225999999999999
2670.2843313217163,-1.2199999999999989
2685.2843782901764,-1.2109999999999843
2700.284469604492,-1.2090000000000032
2715.28754734993,-1.1989999999999839
2730.2891323566437,-1.2009999999999934
2745.2917382717133,-1.1939999999999884
2760.292679786682,-1.1869999999999834
2775.294520378113,-1.1800000000000068
2790.2959566116333,-1.1769999999999925
2805.2959735393524,-1.1709999999999923
2820.2979080677032,-1.1730000000000018
2835.2984325885773,-1.1569999999999823
2850.3022298812866,-1.1689999999999827
2865.305567264557,-1.1519999999999868
2880.3055880069733,-1.1620000000000061
2895.3076684474945,-1.1440000000000055
2910.309682369232,-1.1519999999999868
2925.3111667633057,-1.1389999999999816
2940.3112704753876,-1.1289999999999907
2955.3119456768036,-1.1359999999999957
2970.3154468536377,-1.1099999999999852
2985.316020965576,-1.1289999999999907
3000.3173620700836,-1.0960000000000036
3015.3200359344482,-1.1219999999999857
3030.3222296237946,-1.0970000000000084
3045.323675632477,-1.1059999999999945
3060.3260378837585,-1.0910000000000082
3075.326848745346,-1.0960000000000036
3090.327939748764,-1.0929999999999893
3105.328185081482,-1.0769999999999982
3120.32852602005,-1.085000000000008
3135.3298320770264,-1.0720000000000027
3150.3311557769775,-1.0769999999999982
3165.333482503891,-1.063999999999993
3180.335599899292,-1.0689999999999884
3195.3375985622406,-1.0559999999999832
3210.340795278549,-1.0550000000000068
3225.3422520160675,-1.0409999999999968
3240.3435089588165,-1.0519999999999925
3255.346825361252,-1.0370000000000061
3270.348070859909,-1.046999999999997
3285.35027217865,-1.0339999999999918
3300.3520715236664,-1.0379999999999825
3315.352673768997,-1.025999999999982
3330.3551802635193,-1.0139999999999816
3345.356847047806,-1.0300000000000011
3360.3578650951385,-1.0079999999999814
3375.360288143158,-1.0379999999999825
3390.3606009483337,-1.007000000000005
3405.3619244098663,-1.031000000000006
3420.362900018692,-1.0020000000000095
3435.3646552562714,-1.0039999999999907
3450.364711046219,-0.9950000000000045
3465.366461992264,-0.9939999999999998
3480.3675606250763,-0.9950000000000045
3495.3691959381104,-0.9739999999999895
3510.3713161945343,-0.9849999999999852
3525.372521162033,-0.9699999999999989
3540.3751385211945,-0.978999999999985
3555.3768327236176,-0.9629999999999939
3570.3796997070312,-0.9669999999999845
3585.380989074707,-0.9619999999999891
3600.3837792873383,-0.9609999999999843
