time,vial_A_135_degree,vial_B_135_degree,vial_C_135_degree,vial_D_135_degree,vial_A_180_degree,vial_B_180_degree,vial_C_180_degree,vial_D_180_degree,vial_A_reference,vial_B_reference,vial_C_reference,vial_D_reference,io_temp_in,io_temp_out,vial_A_temp,vial_B_temp,vial_C_temp,vial_D_temp,ambient_temp,peltier_current
1.3589859008789062e-05,4.68171206225681,4.68171206225681,4.68171206225681,0.07343862058442054,0.09179827573052568,0.07343862058442054,0.6609475852597849,4.68171206225681,2.75394827191577,0.16523689631494623,0.6242282749675746,0.05507896543831541,1.1933775844968337,2.0195620660715647,26.375,27.312,29.0,30.0,27.25,-0.15170000000000003
12.147376775741577,4.68171206225681,4.68171206225681,4.68171206225681,0.07343862058442054,0.14687724116884107,0.07343862058442054,0.67930724040589,4.68171206225681,2.9191851682307166,0.12851758602273594,0.5875089646753643,0.11015793087663082,1.211737239642939,2.0195620660715647,26.375,27.312,29.062,30.0,27.125,-0.1298
24.138603448867798,4.68171206225681,4.68171206225681,4.68171206225681,0.07343862058442054,0.33047379262989246,0.07343862058442054,0.45899137865262835,4.68171206225681,3.029343099107347,0.42227206836041814,0.67930724040589,0.49571068894483866,1.230096894789044,2.00120241092546,26.375,27.312,29.062,30.0,27.125,-0.1119
36.06542634963989,4.68171206225681,4.68171206225681,4.68171206225681,0.07343862058442054,0.18359655146105136,0.07343862058442054,0.6058686198214694,4.68171206225681,2.9375448233768218,0.09179827573052568,0.5875089646753643,0.09179827573052568,1.2484565499351492,2.00120241092546,26.312,27.25,29.062,30.0,27.125,-0.0981
48.028640270233154,4.68171206225681,4.68171206225681,4.68171206225681,0.07343862058442054,0.07343862058442054,0.09179827573052568,0.7343862058442054,4.68171206225681,3.102781719691768,0.34883344777599756,0.6425879301136798,0.29375448233768214,1.2668162050812544,2.0195620660715647,26.312,27.25,29.0,30.0,27.125,-0.087
59.90295767784119,4.68171206225681,4.68171206225681,4.68171206225681,0.07343862058442054,0.2019562066071565,0.07343862058442054,0.6976668955519951,4.68171206225681,3.3598168917372395,0.16523689631494623,0.7343862058442054,0.05507896543831541,1.3035355153734645,2.0195620660715647,26.375,27.25,29.0,30.0,27.125,-0.0776
71.84339094161987,4.68171206225681,4.68171206225681,4.68171206225681,0.07343862058442054,0.18359655146105136,0.07343862058442054,0.67930724040589,4.68171206225681,2.9375448233768218,0.4406317235065233,0.6609475852597849,0.22031586175326165,1.3218951705195698,2.0195620660715647,26.375,27.25,29.0,30.0,27.125,-0.07
83.82061624526978,3.818808270389868,4.68171206225681,4.68171206225681,0.07343862058442054,0.12851758602273594,0.07343862058442054,0.6976668955519951,4.68171206225681,3.3230975814450296,0.09179827573052568,0.5324299992370489,0.7527458609903106,1.35861448081178,2.0195620660715647,26.375,27.25,29.0,30.0,27.125,-0.06380000000000001
95.71760773658752,4.68171206225681,4.68171206225681,4.68171206225681,0.07343862058442054,0.16523689631494623,0.09179827573052568,0.6242282749675746,4.68171206225681,3.3230975814450296,0.16523689631494623,0.6609475852597849,0.11015793087663082,1.376974135957885,2.0195620660715647,26.375,27.25,29.062,30.062,27.125,-0.057800000000000004
107.69228029251099,4.68171206225681,4.68171206225681,4.68171206225681,0.07343862058442054,0.12851758602273594,0.14687724116884107,0.67930724040589,4.68171206225681,2.75394827191577,0.14687724116884107,0.6976668955519951,0.16523689631494623,1.4136934462500954,2.0195620660715647,26.375,27.25,29.062,30.062,27.125,-0.0525
119.66019606590271,4.68171206225681,4.68171206225681,4.68171206225681,0.07343862058442054,0.12851758602273594,0.07343862058442054,0.7711055161364156,4.68171206225681,3.506694132906081,0.11015793087663082,0.67930724040589,0.5507896543831541,1.4320531013962006,2.0195620660715647,26.375,27.25,29.062,30.062,27.25,-0.048900000000000006
131.63146114349365,4.68171206225681,4.68171206225681,4.68171206225681,0.07343862058442054,0.16523689631494623,0.16523689631494623,0.7343862058442054,4.68171206225681,2.845746547646296,0.6058686198214694,0.5324299992370489,0.11015793087663082,1.4687724116884109,2.0195620660715647,26.375,27.312,29.062,30.125,27.125,-0.277
143.58978700637817,4.68171206225681,4.68171206225681,4.68171206225681,0.07343862058442054,0.09179827573052568,0.09179827573052568,0.6976668955519951,4.68171206225681,3.378176546883345,0.5324299992370489,0.7711055161364156,0.29375448233768214,1.5054917219806212,2.0379217212176703,26.437,27.312,29.062,30.062,27.125,-0.6647000000000001
155.52702593803406,4.68171206225681,4.68171206225681,4.68171206225681,0.09179827573052568,0.2019562066071565,0.11015793087663082,0.7527458609903106,4.68171206225681,3.2496589608606086,0.2570351720454719,0.67930724040589,0.18359655146105136,1.5238513771267264,2.0195620660715647,26.437,27.312,29.125,30.062,27.25,-0.0245
167.5011875629425,4.68171206225681,4.68171206225681,4.68171206225681,0.07343862058442054,0.2019562066071565,0.11015793087663082,0.6242282749675746,4.68171206225681,2.864106202792401,0.3671931029221027,0.5691493095292592,0.12851758602273594,1.5605706874189365,2.0195620660715647,26.5,27.375,29.062,30.062,27.25,-0.0323
179.4964473247528,4.68171206225681,4.68171206225681,4.68171206225681,0.07343862058442054,0.29375448233768214,0.07343862058442054,0.7527458609903106,4.68171206225681,2.6988693064774547,0.33047379262989246,0.5691493095292592,0.33047379262989246,1.5789303425650416,2.0195620660715647,26.562,27.437,29.062,30.062,27.25,-0.0323
