steps_rate,duration,delta_mass,ml_rate
250000.0,60.00336241722107,-1.0300000000000296,0.017165704695649153
65000.0,60.002463579177856,-0.2839999999999918,0.004733138992288742
165000.0,60.00244617462158,-0.9460000000000264,0.01576602389254162
155000.0,60.001896381378174,-0.8170000000000073,0.013616236307050562
145000.0,60.00182843208313,-0.7849999999999682,0.013082934645708675
70000.0,60.00123047828674,-0.35899999999998045,0.005983210629820258
195000.0,60.00311279296875,-1.0930000000000177,0.01821572163716308
55000.0,60.00253200531006,-0.3159999999999741,0.0052664444222455305
130000.0,60.0020432472229,-0.6920000000000073,0.011532940589186276
125000.0,60.0031054019928,-0.6619999999999777,0.01103276231396503
110000.0,60.00095295906067,-0.6120000000000232,0.010199837999533069
185000.0,60.00097703933716,-1.0190000000000055,0.016983056781424415
150000.0,60.002036333084106,-0.8220000000000027,0.013699535053058955
220000.0,60.0020797252655,-1.1830000000000496,0.019715983269525162
120000.0,60.002997398376465,-0.7049999999999841,0.011749413038806953
245000.0,60.00182890892029,-1.337000000000046,0.022282654117586044
75000.0,60.00339436531067,-0.39299999999997226,0.006549629469415059
205000.0,60.00315308570862,-1.0749999999999886,0.01791572516971661
95000.0,60.002376079559326,-0.5099999999999909,0.008499663402058669
240000.0,60.002894163131714,-1.3140000000000214,0.02189894368140992
175000.0,60.00228810310364,-0.9379999999999882,0.015632737178092212
135000.0,60.00207734107971,-0.7259999999999991,0.012099581084052765
105000.0,60.00190305709839,-0.5379999999999541,0.008966382274375333
215000.0,60.001832723617554,-1.1859999999999786,0.01976606290449446
160000.0,60.002594232559204,-0.875,0.01458270281795914
90000.0,60.00280523300171,-0.5030000000000427,0.008382941398269683
230000.0,60.00208067893982,-1.1970000000000027,0.019949308198242845
