time,vial_A_135_degree,vial_B_135_degree,vial_C_135_degree,vial_D_135_degree,vial_A_180_degree,vial_B_180_degree,vial_C_180_degree,vial_D_180_degree,vial_A_reference,vial_B_reference,vial_C_reference,vial_D_reference,io_temp_in,io_temp_out,vial_A_temp,vial_B_temp,vial_C_temp,vial_D_temp,peltier_current
9.298324584960938e-06,0.09179827573052568,0.4406317235065233,0.23867551689936675,0.29375448233768214,4.68171206225681,4.68171206225681,4.68171206225681,4.68171206225681,3.0109834439612424,0.807824826428626,0.4406317235065233,0.6425879301136798,1.7441672388799878,2.0379217212176703,26.25,26.75,27.562,27.875,0.33970000000000006
12.109705448150635,0.29375448233768214,0.33047379262989246,0.3121141374837873,0.2019562066071565,4.68171206225681,4.68171206225681,4.68171206225681,4.68171206225681,2.71722896162356,0.5507896543831541,0.3121141374837873,0.12851758602273594,1.7625268940260932,2.0195620660715647,26.25,26.75,27.562,27.875,-0.302
24.09161615371704,0.67930724040589,0.3671931029221027,0.07343862058442054,0.33047379262989246,4.68171206225681,4.68171206225681,4.68171206225681,4.68171206225681,3.1762203402761884,0.05507896543831541,0.45899137865262835,3.121141374837873,1.7808865491721981,2.0195620660715647,26.25,26.75,27.562,27.937,0.8403
35.99929070472717,0.34883344777599756,0.34883344777599756,0.05507896543831541,0.33047379262989246,4.68171206225681,4.68171206225681,4.68171206225681,4.68171206225681,2.9008255130846115,0.05507896543831541,0.5507896543831541,0.07343862058442054,1.7992462043183033,2.0195620660715647,26.25,26.812,27.562,27.937,0.1942
47.968095541000366,0.3671931029221027,0.45899137865262835,0.12851758602273594,0.34883344777599756,4.68171206225681,4.68171206225681,4.68171206225681,4.68171206225681,2.2215182726787215,0.4773510337987335,1.5972899977111468,0.09179827573052568,1.8176058594644084,2.0195620660715647,26.25,26.812,27.625,27.937,0.11760000000000001
59.86488580703735,0.33047379262989246,0.3121141374837873,0.09179827573052568,0.27539482719157704,4.68171206225681,4.68171206225681,4.68171206225681,4.68171206225681,2.845746547646296,0.07343862058442054,0.5140703440909438,0.34883344777599756,1.8176058594644084,2.0195620660715647,26.25,26.812,27.625,27.937,-0.34340000000000004
71.83114838600159,0.09179827573052568,0.33047379262989246,0.2570351720454719,0.07343862058442054,4.68171206225681,4.68171206225681,4.68171206225681,4.68171206225681,3.0660624093995574,0.07343862058442054,0.5507896543831541,0.05507896543831541,1.8176058594644084,2.0379217212176703,26.25,26.812,27.625,27.937,-0.35270000000000007
83.77998089790344,0.05507896543831541,0.05507896543831541,0.05507896543831541,0.05507896543831541,4.68171206225681,4.68171206225681,4.68171206225681,4.68171206225681,3.0660624093995574,0.34883344777599756,0.07343862058442054,0.16523689631494623,1.7992462043183033,2.0195620660715647,26.25,26.812,27.625,27.937,-0.227
95.63634634017944,0.09179827573052568,0.3121141374837873,0.05507896543831541,0.33047379262989246,4.68171206225681,4.68171206225681,4.68171206225681,4.68171206225681,2.9191851682307166,0.27539482719157704,0.45899137865262835,0.05507896543831541,1.8176058594644084,2.0195620660715647,26.25,26.812,27.625,27.875,-0.3658
107.48843359947205,0.09179827573052568,0.42227206836041814,0.29375448233768214,0.3671931029221027,4.68171206225681,4.68171206225681,4.68171206225681,4.68171206225681,3.469974822613871,0.23867551689936675,0.07343862058442054,0.09179827573052568,1.7992462043183033,2.0195620660715647,26.25,26.812,27.625,27.875,1.8985
119.33459830284119,0.5691493095292592,0.29375448233768214,0.12851758602273594,0.23867551689936675,4.68171206225681,4.68171206225681,4.68171206225681,4.68171206225681,2.4969130998702984,0.05507896543831541,0.42227206836041814,0.05507896543831541,1.7808865491721981,2.0379217212176703,26.25,26.812,27.625,27.875,0.9596
131.2320113182068,0.09179827573052568,0.42227206836041814,0.07343862058442054,0.09179827573052568,4.68171206225681,4.68171206225681,4.68171206225681,4.68171206225681,1.5238513771267264,0.27539482719157704,0.23867551689936675,0.09179827573052568,1.7808865491721981,2.0195620660715647,26.25,26.812,27.625,27.875,-0.37420000000000003
143.1602475643158,0.09179827573052568,0.3671931029221027,0.2019562066071565,0.07343862058442054,4.68171206225681,4.68171206225681,4.68171206225681,4.68171206225681,3.1945799954222935,0.34883344777599756,1.4504127565423057,0.16523689631494623,1.7808865491721981,2.0195620660715647,26.25,26.812,27.625,27.875,1.9219000000000002
155.18372893333435,0.4406317235065233,0.42227206836041814,0.27539482719157704,0.3671931029221027,4.68171206225681,4.68171206225681,4.68171206225681,4.68171206225681,0.05507896543831541,0.4406317235065233,0.11015793087663082,0.07343862058442054,1.7625268940260932,2.0195620660715647,26.25,26.812,27.625,27.875,0.5238
167.09501361846924,0.11015793087663082,0.4773510337987335,0.18359655146105136,0.09179827573052568,4.68171206225681,4.68171206225681,4.68171206225681,4.68171206225681,0.05507896543831541,0.16523689631494623,0.07343862058442054,0.09179827573052568,1.7625268940260932,2.0195620660715647,26.25,26.812,27.625,27.875,-0.38330000000000003
179.07237648963928,0.09179827573052568,0.4406317235065233,0.07343862058442054,0.12851758602273594,4.68171206225681,4.68171206225681,4.68171206225681,4.68171206225681,2.3133165484092473,0.09179827573052568,2.2215182726787215,0.09179827573052568,1.7441672388799878,2.00120241092546,26.25,26.812,27.625,27.812,-0.392
191.07216215133667,0.34883344777599756,0.3855527580682078,0.07343862058442054,0.2570351720454719,4.68171206225681,4.68171206225681,4.68171206225681,4.68171206225681,2.827386892500191,0.29375448233768214,2.07464103150988,0.16523689631494623,1.7258075837338827,2.0195620660715647,26.25,26.812,27.625,27.812,0.657
