out_pump_steps_rate,in_pump_steps_rate,initial_mass,mass_3min,end_mass,delta_mass_end_minus_3min
213120.14476284396,215086.91873634065,0.0,-0.03700000000003456,-0.02800000000002001,0.009000000000014552
214120.14476284396,215086.91873634065,-0.0020000000000095497,0.026999999999986812,0.07100000000002638,0.04400000000003956
215120.14476284396,215086.91873634065,0.0,0.0009999999999763531,0.014999999999986358,0.014000000000010004
216120.14476284396,215086.91873634065,-0.002999999999985903,-0.02199999999999136,-0.012999999999976808,0.009000000000014552
217120.14476284396,215086.91873634065,-0.0020000000000095497,-0.009999999999990905,-0.021000000000015007,-0.011000000000024102
216620.0,215086.91873634065,-0.002999999999985903,-0.005999999999971806,-0.06699999999995043,-0.06099999999997863
216369.0,215086.91873634065,0.0,-0.028999999999996362,-0.012000000000000455,0.016999999999995907
216494.0,215086.91873634065,-0.010000000000047748,-0.05600000000004002,-0.08199999999999363,-0.025999999999953616
216431.0,215086.91873634065,-0.036000000000001364,-0.045000000000015916,-0.10400000000004184,-0.05900000000002592
216400.0,215086.91873634065,-0.003999999999962256,-0.014000000000010004,-0.06999999999999318,-0.055999999999983174
216384.0,215086.91873634065,0.0,0.002999999999985903,-0.02600000000001046,-0.028999999999996362
216376.0,215086.91873634065,-0.006999999999948159,-0.012000000000000455,-0.07499999999998863,-0.06299999999998818
216372.0,215086.91873634065,0.0,-0.03300000000001546,-0.05099999999998772,-0.01799999999997226
216370.0,215086.91873634065,-0.008000000000038199,-0.02400000000000091,-0.02600000000001046,-0.0020000000000095497
