out_pump_steps_rate,in_pump_steps_rate,initial_mass,mass_3min,end_mass,delta_mass_end_minus_3min
83163.7648319223,89824.33781644663,-0.002999999999985903,-0.012000000000000455,-0.05500000000000682,-0.043000000000006366
82163.7648319223,89824.33781644663,0.0,0.055999999999983174,0.20400000000000773,0.14800000000002456
82663.0,89824.33781644663,0.0,0.013000000000033651,0.2459999999999809,0.23299999999994725
82913.0,89824.33781644663,0.0,0.014000000000010004,0.2440000000000282,0.2300000000000182
83038.0,89824.33781644663,-0.0020000000000095497,0.009999999999990905,0.2189999999999941,0.20900000000000318
83101.0,89824.33781644663,0.0,0.01999999999998181,0.23099999999999454,0.21100000000001273
83132.0,89824.33781644663,0.0,0.012000000000000455,0.2330000000000041,0.22100000000000364
83148.0,89824.33781644663,0.0,0.02400000000000091,0.24200000000001864,0.21800000000001774
83156.0,89824.33781644663,0.0,0.012999999999976808,0.22299999999995634,0.20999999999997954
83160.0,89824.33781644663,0.0,0.006000000000028649,0.17700000000002092,0.17099999999999227
83162.0,89824.33781644663,0.0,0.016000000000019554,0.22699999999997544,0.2109999999999559
83163.0,89824.33781644663,0.0,0.015000000000043201,0.22900000000004184,0.21399999999999864
