out_pump_steps_rate,in_pump_steps_rate,initial_mass,mass_3min,end_mass,delta_mass_end_minus_3min
125411.34583262913,133702.52564472766,0.0,0.060000000000002274,-0.03899999999998727,-0.09899999999998954
124411.34583262913,133702.52564472766,-0.0020000000000095497,0.05200000000002092,0.3059999999999832,0.25399999999996226
124911.0,133702.52564472766,0.0,0.049000000000035016,0.47900000000004184,0.4300000000000068
125161.0,133702.52564472766,0.0,0.05299999999999727,0.5120000000000005,0.4590000000000032
125286.0,133702.52564472766,0.0,0.03999999999996362,0.436999999999955,0.39699999999999136
125349.0,133702.52564472766,0.0,0.028999999999996362,0.4200000000000159,0.39100000000001955
125380.0,133702.52564472766,0.0,0.031999999999982265,0.37899999999996226,0.34699999999998
125396.0,133702.52564472766,0.0,0.060000000000002274,0.4270000000000209,0.36700000000001864
125404.0,133702.52564472766,0.0,0.04599999999999227,0.39100000000001955,0.3450000000000273
125408.0,133702.52564472766,0.0,0.03999999999996362,0.4199999999999591,0.37999999999999545
125410.0,133702.52564472766,0.0,0.03799999999995407,0.40299999999996317,0.3650000000000091
125411.0,133702.52564472766,0.0,0.03900000000004411,0.40300000000002,0.3639999999999759
